date,fill_mmt,fill_pct,days_of_cover,source
2026-05-24,5.33,100.0,35.5,"Parliament Standing Committee on Petroleum & Natural Gas, Feb 2024"
2026-05-25,5.33,100.0,35.5,"Parliament Standing Committee on Petroleum & Natural Gas, Feb 2024"
2026-05-26,5.33,100.0,35.5,"Parliament Standing Committee on Petroleum & Natural Gas, Feb 2024"
2026-05-27,5.33,100.0,35.5,"Parliament Standing Committee on Petroleum & Natural Gas, Feb 2024"
2026-05-28,5.33,100.0,35.5,"Parliament Standing Committee on Petroleum & Natural Gas, Feb 2024"
2026-05-29,5.33,100.0,35.5,"Parliament Standing Committee on Petroleum & Natural Gas, Feb 2024"
2026-05-30,5.33,100.0,35.5,"Parliament Standing Committee on Petroleum & Natural Gas, Feb 2024"
2026-05-31,5.33,100.0,35.5,"Parliament Standing Committee on Petroleum & Natural Gas, Feb 2024"
2026-06-01,5.33,100.0,35.5,"Parliament Standing Committee on Petroleum & Natural Gas, Feb 2024"
2026-06-02,5.33,100.0,35.5,"Parliament Standing Committee on Petroleum & Natural Gas, Feb 2024"
2026-06-03,5.33,100.0,35.5,"Parliament Standing Committee on Petroleum & Natural Gas, Feb 2024"
